"","seconds","diff","GameID","quarter","event"
"1",600,0,1,1,"h jump ball  won"
"2",582,2,1,1,"h 2 made"
"3",566,0,1,1,"a 2 made"
"4",548,2,1,1,"h 2 made"
"5",537,2,1,1,"a turnover"
"6",537,2,1,1,"a turnover"
"7",536,4,1,1,"h 2 made"
"8",515,4,1,1,"a 3 missed"
"9",515,4,1,1,"a rebound offensive"
"10",509,4,1,1,"a 2 missed"
"11",509,4,1,1,"h rebound defensive"
"12",509,4,1,1,"a foul"
"13",487,4,1,1,"h 3 missed"
"14",487,4,1,1,"a rebound defensive"
"15",473,4,1,1,"a 3 missed"
"16",473,4,1,1,"a rebound offensive"
"17",469,2,1,1,"a 2 made"
"18",458,5,1,1,"h 3 made"
"19",420,5,1,1,"h 3 missed"
"20",420,5,1,1,"a rebound defensive"
"21",398,5,1,1,"a 3 missed"
"22",398,5,1,1,"a rebound offensive"
"23",386,5,1,1,"a 3 missed"
"24",386,5,1,1,"h rebound defensive"
"25",381,5,1,1,"a foul"
"26",367,7,1,1,"h 2 made"
"27",353,7,1,1,"h foul"
"28",345,7,1,1,"a 2 missed"
"29",345,7,1,1,"h rebound defensive"
"30",331,7,1,1,"h 3 missed"
"31",331,7,1,1,"a rebound defensive"
"32",323,7,1,1,"a 2 missed"
"33",323,7,1,1,"h rebound defensive"
"34",323,7,1,1,"a foul"
"35",304,7,1,1,"h turnover"
"36",299,7,1,1,"a turnover"
"37",286,7,1,1,"h 3 missed"
"38",286,7,1,1,"a rebound defensive"
"39",262,7,1,1,"a 2 missed"
"40",262,7,1,1,"a rebound offensive"
"41",260,7,1,1,"a 3 missed"
"42",260,7,1,1,"h rebound defensive"
"43",260,7,1,1,"a timeOut"
"44",233,4,1,1,"a 3 made"
"45",218,4,1,1,"h turnover"
"46",202,4,1,1,"a 2 missed"
"47",202,4,1,1,"a rebound offensive"
"48",193,4,1,1,"a 3 missed"
"49",193,4,1,1,"a rebound offensive"
"50",177,4,1,1,"a 2 missed"
"51",177,4,1,1,"h rebound defensive"
"52",170,6,1,1,"h 2 made"
"53",158,6,1,1,"a rebound offensive"
"54",158,6,1,1,"h rebound defensive"
"55",137,6,1,1,"h 3 missed"
"56",137,6,1,1,"a rebound defensive"
"57",116,4,1,1,"a 2 made"
"58",99,4,1,1,"h 2 missed"
"59",99,4,1,1,"h rebound offensive"
"60",96,4,1,1,"h 3 missed"
"61",96,4,1,1,"h rebound offensive"
"62",79,6,1,1,"h 2 made"
"63",72,6,1,1,"a turnover"
"64",68,8,1,1,"h 2 made"
"65",65,8,1,1,"h foul"
"66",57,8,1,1,"a turnover"
"67",52,10,1,1,"h 2 made"
"68",26,10,1,1,"a turnover"
"69",20,10,1,1,"a foul"
"70",20,10,1,1,"h free throw 1 of 2 missed"
"71",20,10,1,1,"h free throw 2 of 2 missed"
"72",20,10,1,1,"h rebound offensive"
"73",11,10,1,1,"h turnover"
"74",3,7,1,1,"a 3 made"
"75",591,7,1,2,"h turnover"
"76",586,5,1,2,"a 2 made"
"77",568,5,1,2,"h 3 missed"
"78",568,5,1,2,"h rebound offensive"
"79",562,7,1,2,"h 2 made"
"80",548,5,1,2,"a 2 made"
"81",528,5,1,2,"a foul"
"82",514,7,1,2,"h 2 made"
"83",504,7,1,2,"a turnover"
"84",489,7,1,2,"h 3 missed"
"85",489,7,1,2,"a rebound defensive"
"86",468,5,1,2,"a 2 made"
"87",439,5,1,2,"h 2 missed"
"88",439,5,1,2,"a rebound defensive"
"89",420,3,1,2,"a 2 made"
"90",420,3,1,2,"h timeOut"
"91",407,3,1,2,"h 3 missed"
"92",407,3,1,2,"a rebound defensive"
"93",400,3,1,2,"h foul"
"94",389,3,1,2,"a turnover"
"95",378,3,1,2,"h 3 missed"
"96",378,3,1,2,"a rebound defensive"
"97",367,1,1,2,"a 2 made"
"98",356,1,1,2,"h 3 missed"
"99",356,1,1,2,"a rebound defensive"
"100",349,1,1,2,"a turnover"
"101",349,1,1,2,"a turnover"
"102",327,1,1,2,"h turnover"
"103",306,1,1,2,"a 3 missed"
"104",306,1,1,2,"h rebound defensive"
"105",282,1,1,2,"h 2 missed"
"106",282,1,1,2,"h rebound offensive"
"107",275,1,1,2,"h 2 missed"
"108",275,1,1,2,"h rebound offensive"
"109",271,4,1,2,"h 3 made"
"110",255,2,1,2,"a 2 made"
"111",238,2,1,2,"a foul"
"112",238,3,1,2,"h free throw 1 of 2 made"
"113",238,4,1,2,"h free throw 2 of 2 made"
"114",230,4,1,2,"a 2 missed"
"115",230,4,1,2,"h rebound defensive"
"116",215,4,1,2,"h 2 missed"
"117",215,4,1,2,"a rebound defensive"
"118",201,4,1,2,"a turnover"
"119",194,4,1,2,"h turnover"
"120",193,4,1,2,"h foul"
"121",183,4,1,2,"a 2 missed"
"122",183,4,1,2,"h rebound defensive"
"123",159,7,1,2,"h 3 made"
"124",132,7,1,2,"a 3 missed"
"125",132,7,1,2,"h rebound defensive"
"126",129,7,1,2,"h turnover"
"127",129,7,1,2,"h turnover"
